index,prediction
10,500 grams
15,9.0 pounds
17,
22,15.0 milliliters
27,0.0 grams
28,0.5 kilograms
29,2.62 pounds
30,500 grams
31,
35,3.0 pounds
51,
56,500 grams
61,12.0 ounces
66,
78,500 grams
80,250.0 grams
82,11.1 pounds
83,10.0 ounces
89,
94,
101,2.0 fluid ounces
108,8.0 ounces
111,10.0 ounces
113,1.6 kilograms
114,2.0 kilograms
116,1.0 ounce
117,75.0 milligrams
120,3.5 ounces
122,250 grams
124,1000 grams
125,0.1 grams
129,7.8 pounds
147,8.85 fluid ounces
150,64.0 grams
159,2.31 pounds
161,32.0 ounces
164,250 grams
167,6.0 kilograms
170,1.5 pounds
172,
176,3.0 ounces
181,32 ounces
185,500 grams
190,0.35 ounces
193,6.2 pounds
198,33.0 grams
199,
208,226.0 grams
209,11.8 kilograms
211,312 grams
218,
219,
223,50.7 pounds
227,4.0 ounces
232,364 grams
252,120.5 grams
253,40.0 milliliters
261,168.3 pounds
273,500 grams
276,8.0 ounces
281,10.9 grams
284,12.0 ounces
290,7.0 ounces
303,2.2 kilograms
306,500 grams
308,45.0 pounds
312,3.75 pounds
313,6.0 ounces
319,1.7 kilograms
330,6.0 ounces
331,500 grams
336,40.0 milliliters
341,1.3 ounces
349,
354,
359,8.0 ounces
362,
368,12.0 fluid ounces
372,10 fluid ounces
376,3.0 kilograms
383,18.0 grams
390,12.0 fluid ounces
397,2.0 ounces
401,12.0 fluid ounces
402,8.0 ounces
415,5.0 kilograms
417,500 grams
420,16.0 fluid ounces
426,250.0 grams
436,
441,1.5 kilograms
444,0.1 grams
448,20.0 grams
466,10.0 pounds
467,22.0 fluid ounces
468,2.5 ounces
471,
480,1 pound
481,12.0 fluid ounces
495,4.0 fluid ounces
504,
505,1.0 liter
512,23 pounds
514,68.0 grams
532,150 grams
533,
535,500 grams
538,25.0 grams
540,30.0 milliliters
544,
553,400 grams
560,12.0 ounces
565,
566,3.0 kilograms
567,10.0 grams
568,2.0 ounces
573,16.0 ounces
574,11.8 fluid ounces
575,2.5 kilograms
576,3.3 kilograms
585,0.5 pounds
586,100 grams
588,9.0 kilograms
589,8.0 ounces
590,
591,500 grams
599,2.5 kilograms
600,
601,17.63 ounces
602,250 milliliters
614,
617,2.65 pounds
620,
626,1.5 pounds
630,6.0 grams
648,5.07 fluid ounces
649,500 grams
651,
653,1.52 kilograms
654,580 grams
666,413.0 grams
670,250 milliliters
672,7.3 ounces
678,1.7 ounces
684,200 grams
685,750 milliliters
690,500 milliliters
692,2.0 kilograms
698,150 grams
699,17.0 ounces
700,100 grams
701,
711,
712,1.1 ounces
719,34.0 grams
722,23 pounds
725,0.1 kilograms
726,500 grams
727,
728,1.5 kilograms
739,
740,16 fluid ounces
746,32.0 ounces
760,1.15 ounces
761,
764,4.0 fluid ounces
773,
775,
780,0.219 pounds
787,1.7 kilograms
810,
811,2.45 ounces
814,250.0 milliliters
816,
818,0.25 pounds
829,8.5 ounces
830,1.0 liter
833,1.0 gram
841,117.0 grams
842,12.7 ounces
843,16.0 ounces
847,4.5 kilograms
848,40.5 fluid ounces
851,15 grams
857,24.2 pounds
858,12.0 fluid ounces
859,6.0 ounces
866,5.07 fluid ounces
871,30.5 grams
874,5.0 kilograms
881,20.28 ounces
884,453.0 grams
887,9.0 grams
894,
898,750 grams
903,4.0 fluid ounces
914,50 grams
935,1.5 pounds
938,3.0 ounces
941,
947,2.1 kilograms
978,9.0 ounces
979,80.0 milliliters
980,16.0 ounces
985,8.4 fluid ounces
990,28.0 ounces
996,7.05 ounces
997,3.02 ounces
998,10.0 ounces
1000,1.5 kilograms
1001,16.0 pounds
1004,32.0 fluid ounces
1005,
1007,0.18 pounds
1013,100 grams
1016,0.5 kilograms
1017,
1018,0.75 ounces
